name,shape,Ht_in,B_in,tnom_in,tdes_in,A_in2,mass_lbft,Ix_in4,Sx_in3,Zx_in3,rx_in,Iy_in4,Sy_in3,Zy_in3,ry_in
HSS5X5X1/8,HSS,5,5,0.125,0.116,2.23,8.16,8.8,3.52,4.07,1.99,8.8,3.52,4.07,1.99
HSS5X4X1/2,HSS,5,4,0.5,0.465,6.95,25.03,21.2,8.49,10.9,1.75,14.9,7.43,9.35,1.46
HSS5X4X3/8,HSS,5,4,0.375,0.349,5.48,19.82,17.9,7.17,8.96,1.81,12.6,6.3,7.67,1.52
HSS5X4X5/16,HSS,5,4,0.3125,0.291,4.68,16.96,15.8,6.32,7.79,1.84,11.1,5.57,6.67,1.54
HSS5X4X1/4,HSS,5,4,0.25,0.233,3.84,13.91,13.4,5.35,6.49,1.87,9.46,4.73,5.57,1.57
HSS5X4X3/16,HSS,5,4,0.1875,0.174,2.93,10.7,10.6,4.22,5.05,1.9,7.48,3.74,4.34,1.6
HSS5X4X1/8,HSS,5,4,0.125,0.116,2,7.31,7.42,2.97,3.5,1.93,5.27,2.64,3.01,1.62
HSS5X3X1/2,HSS,5,3,0.5,0.465,6.02,21.63,16.4,6.57,8.83,1.65,7.18,4.78,6.1,1.09
HSS5X3X3/8,HSS,5,3,0.375,0.349,4.78,17.27,14.1,5.65,7.34,1.72,6.25,4.16,5.1,1.14
HSS5X3X5/16,HSS,5,3,0.3125,0.291,4.1,14.83,12.6,5.03,6.42,1.75,5.6,3.73,4.48,1.17
HSS5X3X1/4,HSS,5,3,0.25,0.233,3.37,12.21,10.7,4.29,5.38,1.78,4.81,3.21,3.77,1.19
HSS5X3X3/16,HSS,5,3,0.1875,0.174,2.58,9.42,8.53,3.41,4.21,1.82,3.85,2.57,2.96,1.22
HSS5X3X1/8,HSS,5,3,0.125,0.116,1.77,6.46,6.03,2.41,2.93,1.85,2.75,1.83,2.07,1.25
HSS5X2-1/2X1/4,HSS,5,2.5,0.25,0.233,3.14,11.36,9.4,3.76,4.83,1.73,3.13,2.5,2.95,0.999
HSS5X2-1/2X3/16,HSS,5,2.5,0.1875,0.174,2.41,8.78,7.51,3.01,3.79,1.77,2.53,2.03,2.33,1.02
HSS5X2-1/2X1/8,HSS,5,2.5,0.125,0.116,1.65,6.03,5.34,2.14,2.65,1.8,1.82,1.46,1.64,1.05
HSS5X2X3/8,HSS,5,2,0.375,0.349,4.09,14.72,10.4,4.14,5.71,1.59,2.28,2.28,2.88,0.748
HSS5X2X5/16,HSS,5,2,0.3125,0.291,3.52,12.7,9.35,3.74,5.05,1.63,2.1,2.1,2.57,0.772
HSS5X2X1/4,HSS,5,2,0.25,0.233,2.91,10.51,8.08,3.23,4.27,1.67,1.84,1.84,2.2,0.797
HSS5X2X3/16,HSS,5,2,0.1875,0.174,2.24,8.15,6.5,2.6,3.37,1.7,1.51,1.51,1.75,0.823
HSS5X2X1/8,HSS,5,2,0.125,0.116,1.54,5.61,4.65,1.86,2.37,1.74,1.1,1.1,1.24,0.848
HSS4-1/2X4-1/2X1/2,HSS,4.5,4.5,0.5,0.465,6.95,25.03,18.1,8.03,10.2,1.61,18.1,8.03,10.2,1.61
HSS4-1/2X4-1/2X3/8,HSS,4.5,4.5,0.375,0.349,5.48,19.82,15.3,6.79,8.36,1.67,15.3,6.79,8.36,1.67
HSS4-1/2X4-1/2X5/16,HSS,4.5,4.5,0.3125,0.291,4.68,16.96,13.5,6,7.27,1.7,13.5,6,7.27,1.7
HSS4-1/2X4-1/2X1/4,HSS,4.5,4.5,0.25,0.233,3.84,13.91,11.4,5.08,6.06,1.73,11.4,5.08,6.06,1.73
HSS4-1/2X4-1/2X3/16,HSS,4.5,4.5,0.1875,0.174,2.93,10.7,9.02,4.01,4.71,1.75,9.02,4.01,4.71,1.75
HSS4-1/2X4-1/2X1/8,HSS,4.5,4.5,0.125,0.116,2,7.31,6.35,2.82,3.27,1.78,6.35,2.82,3.27,1.78
HSS4X4X1/2,HSS,4,4,0.5,0.465,6.02,21.63,11.9,5.97,7.7,1.41,11.9,5.97,7.7,1.41
HSS4X4X3/8,HSS,4,4,0.375,0.349,4.78,17.27,10.3,5.13,6.39,1.47,10.3,5.13,6.39,1.47
HSS4X4X5/16,HSS,4,4,0.3125,0.291,4.1,14.83,9.14,4.57,5.59,1.49,9.14,4.57,5.59,1.49
HSS4X4X1/4,HSS,4,4,0.25,0.233,3.37,12.21,7.8,3.9,4.69,1.52,7.8,3.9,4.69,1.52
HSS4X4X3/16,HSS,4,4,0.1875,0.174,2.58,9.42,6.21,3.1,3.67,1.55,6.21,3.1,3.67,1.55
HSS4X4X1/8,HSS,4,4,0.125,0.116,1.77,6.46,4.4,2.2,2.56,1.58,4.4,2.2,2.56,1.58
HSS4X3X3/8,HSS,4,3,0.375,0.349,4.09,14.72,7.93,3.97,5.12,1.39,5.01,3.34,4.18,1.11
HSS4X3X5/16,HSS,4,3,0.3125,0.291,3.52,12.7,7.14,3.57,4.51,1.42,4.52,3.02,3.69,1.13
HSS4X3X1/4,HSS,4,3,0.25,0.233,2.91,10.51,6.15,3.07,3.81,1.45,3.91,2.61,3.12,1.16
HSS4X3X3/16,HSS,4,3,0.1875,0.174,2.24,8.15,4.93,2.47,3,1.49,3.16,2.1,2.46,1.19
HSS4X3X1/8,HSS,4,3,0.125,0.116,1.54,5.61,3.52,1.76,2.11,1.52,2.27,1.51,1.73,1.21
HSS4X2-1/2X3/8,HSS,4,2.5,0.375,0.349,3.74,13.44,6.77,3.38,4.48,1.35,3.17,2.54,3.2,0.922
HSS4X2-1/2X5/16,HSS,4,2.5,0.3125,0.291,3.23,11.64,6.13,3.07,3.97,1.38,2.89,2.32,2.85,0.947
HSS4X2-1/2X1/4,HSS,4,2.5,0.25,0.233,2.67,9.66,5.32,2.66,3.38,1.41,2.53,2.02,2.43,0.973
HSS4X2-1/2X3/16,HSS,4,2.5,0.1875,0.174,2.06,7.51,4.3,2.15,2.67,1.44,2.06,1.65,1.93,0.999
HSS4X2-1/2X1/8,HSS,4,2.5,0.125,0.116,1.42,5.18,3.09,1.54,1.88,1.47,1.49,1.19,1.36,1.03
HSS4X2X3/8,HSS,4,2,0.375,0.349,3.39,12.17,5.6,2.8,3.84,1.29,1.8,1.8,2.31,0.729
HSS4X2X5/16,HSS,4,2,0.3125,0.291,2.94,10.58,5.13,2.56,3.43,1.32,1.67,1.67,2.08,0.754
HSS4X2X1/4,HSS,4,2,0.25,0.233,2.44,8.81,4.49,2.25,2.94,1.36,1.48,1.48,1.79,0.779
