name,shape,d_in,bf_in,tw_in,tf_in,kdes_in,A_in2,mass_lbft,Ix_in4,Sx_in3,Zx_in3,rx_in,Iy_in4,Sy_in3,Zy_in3,ry_in
W10X17,I,10.1,4.01,0.24,0.33,0.63,4.99,17,81.9,16.2,18.7,4.05,3.56,1.78,2.8,0.845
W10X15,I,9.99,4,0.23,0.27,0.57,4.41,15,68.9,13.8,16,3.95,2.89,1.45,2.3,0.81
W10X12,I,9.87,3.96,0.19,0.21,0.51,3.54,12,53.8,10.9,12.6,3.9,2.18,1.1,1.74,0.785
W8X67,H,9,8.28,0.57,0.935,1.33,19.7,67,272,60.4,70.1,3.72,88.6,21.4,32.7,2.12
W8X58,H,8.75,8.22,0.51,0.81,1.2,17.1,58,228,52,59.8,3.65,75.1,18.3,27.9,2.1
W8X48,H,8.5,8.11,0.4,0.685,1.08,14.1,48,184,43.2,49,3.61,60.9,15,22.9,2.08
W8X40,H,8.25,8.07,0.36,0.56,0.954,11.7,40,146,35.5,39.8,3.53,49.1,12.2,18.5,2.04
W8X35,H,8.12,8.02,0.31,0.495,0.889,10.3,35,127,31.2,34.7,3.51,42.6,10.6,16.1,2.03
W8X31,H,8,8,0.285,0.435,0.829,9.13,31,110,27.5,30.4,3.47,37.1,9.27,14.1,2.02
W8X28,H,8.06,6.54,0.285,0.465,0.859,8.25,28,98,24.3,27.2,3.45,21.7,6.63,10.1,1.62
W8X24,H,7.93,6.5,0.245,0.4,0.794,7.08,24,82.7,20.9,23.1,3.42,18.3,5.63,8.57,1.61
W8X21,H,8.28,5.27,0.25,0.4,0.7,6.16,21,75.3,18.2,20.4,3.49,9.77,3.71,5.69,1.26
W8X18,H,8.14,5.25,0.23,0.33,0.63,5.26,18,61.9,15.2,17,3.43,7.97,3.04,4.66,1.23
W8X15,I,8.11,4.02,0.245,0.315,0.615,4.44,15,48,11.8,13.6,3.29,3.41,1.7,2.67,0.876
W8X13,I,7.99,4,0.23,0.255,0.555,3.84,13,39.6,9.91,11.4,3.21,2.73,1.37,2.15,0.843
W8X10,I,7.89,3.94,0.17,0.205,0.505,2.96,10,30.8,7.81,8.87,3.22,2.09,1.06,1.66,0.841
W6X25,H,6.38,6.08,0.32,0.455,0.705,7.34,25,53.4,16.7,18.9,2.7,17.1,5.61,8.56,1.52
W6X20,H,6.2,6.02,0.26,0.365,0.615,5.87,20,41.4,13.4,14.9,2.66,13.3,4.41,6.72,1.5
W6X15,H,5.99,5.99,0.23,0.26,0.51,4.43,15,29.1,9.72,10.8,2.56,9.32,3.11,4.75,1.45
W6X16,H,6.28,4.03,0.26,0.405,0.655,4.74,16,32.1,10.2,11.7,2.6,4.43,2.2,3.39,0.967
W6X12,H,6.03,4,0.23,0.28,0.53,3.55,12,22.1,7.31,8.3,2.49,2.99,1.5,2.32,0.918
W6X9,H,5.9,3.94,0.17,0.215,0.465,2.68,9,16.4,5.56,6.23,2.47,2.2,1.11,1.72,0.905
W6X8.5,H,5.83,3.94,0.17,0.195,0.445,2.52,8.5,14.9,5.1,5.73,2.43,1.99,1.01,1.56,0.89
W5X19,H,5.15,5.03,0.27,0.43,0.73,5.56,19,26.3,10.2,11.6,2.17,9.13,3.63,5.53,1.28
W5X16,H,5.01,5,0.24,0.36,0.66,4.71,16,21.4,8.55,9.63,2.13,7.51,3,4.58,1.26
W4X13,H,4.16,4.06,0.28,0.345,0.595,3.83,13,11.3,5.46,6.28,1.72,3.86,1.9,2.92,1
